run_name,model,seq_len,forecast_horizon,window_stride,hidden_size,num_layers,nhead,dim_feedforward,dropout,batch_size,lr,loss,weight_decay,grad_clip,patience,min_delta,seed,split_strategy,split_stratify_attribute,train_basin_count,val_basin_count,test_basin_count,output_dir,checkpoint,status,mse,mae,rmse,nse,kge,best_basin_by_nse,worst_basin_by_nse
seq030_hidden032_batch032_lr0p001,transformer,30,1,30,32,2,4,128,0.1,32,0.001,mse,1e-05,1.0,10,0.0,42,stratified,aridity,30,10,10,output/sweep_transformer/seq030_hidden032_batch032_lr0p001,output/sweep_transformer/seq030_hidden032_batch032_lr0p001/best_model.pt,completed,9.245363916418219,1.3771058371278355,3.0406190021800197,-0.023579709718241082,0.31608061199858284,13310700,12048000
seq030_hidden032_batch032_lr0p003,transformer,30,1,30,32,2,4,128,0.1,32,0.003,mse,1e-05,1.0,10,0.0,42,stratified,aridity,30,10,10,output/sweep_transformer/seq030_hidden032_batch032_lr0p003,output/sweep_transformer/seq030_hidden032_batch032_lr0p003/best_model.pt,completed,5.642006568242365,1.0522905837337866,2.3752908386642604,0.37535790937397084,0.6377149392519256,13337000,12048000
seq030_hidden032_batch032_lr0p0005,transformer,30,1,30,32,2,4,128,0.1,32,0.0005,mse,1e-05,1.0,10,0.0,42,stratified,aridity,30,10,10,output/sweep_transformer/seq030_hidden032_batch032_lr0p0005,output/sweep_transformer/seq030_hidden032_batch032_lr0p0005/best_model.pt,completed,6.139144777052979,1.157627998304761,2.4777297627168666,0.32031836868476504,0.5166530458371416,13337000,10258500
seq030_hidden032_batch064_lr0p001,transformer,30,1,30,32,2,4,128,0.1,64,0.001,mse,1e-05,1.0,10,0.0,42,stratified,aridity,30,10,10,output/sweep_transformer/seq030_hidden032_batch064_lr0p001,output/sweep_transformer/seq030_hidden032_batch064_lr0p001/best_model.pt,completed,5.191258776748806,1.1596156167963625,2.278433404062714,0.42526143915864356,0.5552199414366985,13310700,10258500
seq030_hidden032_batch064_lr0p003,transformer,30,1,30,32,2,4,128,0.1,64,0.003,mse,1e-05,1.0,10,0.0,42,stratified,aridity,30,10,10,output/sweep_transformer/seq030_hidden032_batch064_lr0p003,output/sweep_transformer/seq030_hidden032_batch064_lr0p003/best_model.pt,completed,4.213843318331037,0.925403659993952,2.0527647985901933,0.5334737972925108,0.7483551119655303,13337000,12048000
seq030_hidden032_batch064_lr0p0005,transformer,30,1,30,32,2,4,128,0.1,64,0.0005,mse,1e-05,1.0,10,0.0,42,stratified,aridity,30,10,10,output/sweep_transformer/seq030_hidden032_batch064_lr0p0005,output/sweep_transformer/seq030_hidden032_batch064_lr0p0005/best_model.pt,completed,4.831867679903421,0.9830771729150501,2.1981509684058147,0.46505061759553035,0.6750380482094869,13337000,10258500
seq030_hidden032_batch128_lr0p001,transformer,30,1,30,32,2,4,128,0.1,128,0.001,mse,1e-05,1.0,10,0.0,42,stratified,aridity,30,10,10,output/sweep_transformer/seq030_hidden032_batch128_lr0p001,output/sweep_transformer/seq030_hidden032_batch128_lr0p001/best_model.pt,completed,6.090077018436127,1.2358138722108278,2.46780814052392,0.32575079542054464,0.47255824570305516,13337000,10258500
seq030_hidden032_batch128_lr0p003,transformer,30,1,30,32,2,4,128,0.1,128,0.003,mse,1e-05,1.0,10,0.0,42,stratified,aridity,30,10,10,output/sweep_transformer/seq030_hidden032_batch128_lr0p003,output/sweep_transformer/seq030_hidden032_batch128_lr0p003/best_model.pt,completed,7.322113045329331,1.3504103883001057,2.705940325529987,0.18934869268337906,0.49713159642367144,13337000,10258500
seq030_hidden032_batch128_lr0p0005,transformer,30,1,30,32,2,4,128,0.1,128,0.0005,mse,1e-05,1.0,10,0.0,42,stratified,aridity,30,10,10,output/sweep_transformer/seq030_hidden032_batch128_lr0p0005,output/sweep_transformer/seq030_hidden032_batch128_lr0p0005/best_model.pt,completed,6.054937745576883,1.1383970936467824,2.460678310055356,0.3296411611257931,0.5823133883909803,13337000,12048000
seq030_hidden032_batch256_lr0p001,transformer,30,1,30,32,2,4,128,0.1,256,0.001,mse,1e-05,1.0,10,0.0,42,stratified,aridity,30,10,10,output/sweep_transformer/seq030_hidden032_batch256_lr0p001,output/sweep_transformer/seq030_hidden032_batch256_lr0p001/best_model.pt,completed,4.773148868966556,1.0932659158580287,2.18475373188068,0.4715515389218421,0.67565753240651,13337000,12048000
