run_name,model,loss,seq_len,window_stride,hidden_size,num_layers,nhead,dim_feedforward,dropout,batch_size,lr,weight_decay,best_val_loss,epoch_best_val_loss,best_val_nse,epoch_best_val_nse,best_val_kge,epoch_best_val_kge,test_nse,test_kge,test_rmse,test_mse,test_mae,checkpoint,run_dir,config,forecast_horizon,dynamic_inputs,target_variable,static_attributes,epochs,grad_clip,patience,min_delta,seed,split_strategy,split_stratify_attribute,device,num_workers,limit_basins,train_basin_count,val_basin_count,test_basin_count,data_dir,output_dir,epochs_completed,final_train_loss,final_val_loss,final_val_nse,final_val_kge,best_basin_by_nse,worst_basin_by_nse
seq090_hidden032_batch032_lr0p0001_drop0p1,transformer,mse,90,90,32,2,4,128,0.1,32,0.0001,1e-05,0.2406620718679483,47,0.6204725563007523,47,0.7119408288164503,57,0.3545943268775167,0.6287195112496389,2.5757586939443615,6.634532849429964,1.1222421960490383,output/transformer_MSE_T1/seq090_hidden032_batch032_lr0p0001_drop0p1/best_model.pt,output/transformer_MSE_T1/seq090_hidden032_batch032_lr0p0001_drop0p1,configs/transformer_sweep.yaml,1,"['prcp', 'tmax', 'tmin', 'srad', 'vp']",qobs,"['lat', 'lon', 'elev_mean', 'slope_mean', 'area_km2', 'mean_prcp', 'mean_pet', 'aridity', 'frac_snow', 'soil_depth_pelletier', 'frac_forest', 'lai_max']",100,1.0,10,0.0,42,stratified,aridity,auto,2,,30,10,10,,output/transformer_MSE_T1/seq090_hidden032_batch032_lr0p0001_drop0p1,57,0.2475675676301841,0.2582281263996253,0.592770655246111,0.7119408288164503,13310700,12048000
seq090_hidden032_batch032_lr0p0001_drop0p2,transformer,mse,90,90,32,2,4,128,0.2,32,0.0001,1e-05,0.2539370413598016,62,0.5995377687579481,62,0.6985390155303447,61,0.42789376481194497,0.638813102950769,2.4250858948140004,5.881041597225821,1.0906400954733608,output/transformer_MSE_T1/seq090_hidden032_batch032_lr0p0001_drop0p2/best_model.pt,output/transformer_MSE_T1/seq090_hidden032_batch032_lr0p0001_drop0p2,configs/transformer_sweep.yaml,1,"['prcp', 'tmax', 'tmin', 'srad', 'vp']",qobs,"['lat', 'lon', 'elev_mean', 'slope_mean', 'area_km2', 'mean_prcp', 'mean_pet', 'aridity', 'frac_snow', 'soil_depth_pelletier', 'frac_forest', 'lai_max']",100,1.0,10,0.0,42,stratified,aridity,auto,2,,30,10,10,,output/transformer_MSE_T1/seq090_hidden032_batch032_lr0p0001_drop0p2,72,0.2366702498303024,0.2655875086286424,0.5811647941392966,0.6759252193106438,13310700,10258500
seq090_hidden032_batch032_lr0p001_drop0p1,transformer,mse,90,90,32,2,4,128,0.1,32,0.001,1e-05,0.2268684519646139,35,0.6422252920126224,35,0.7391555619951924,29,0.3204319415114244,0.5561225931642835,2.6430492998241433,6.9857096013008935,1.1884075490852317,output/transformer_MSE_T1/seq090_hidden032_batch032_lr0p001_drop0p1/best_model.pt,output/transformer_MSE_T1/seq090_hidden032_batch032_lr0p001_drop0p1,configs/transformer_sweep.yaml,1,"['prcp', 'tmax', 'tmin', 'srad', 'vp']",qobs,"['lat', 'lon', 'elev_mean', 'slope_mean', 'area_km2', 'mean_prcp', 'mean_pet', 'aridity', 'frac_snow', 'soil_depth_pelletier', 'frac_forest', 'lai_max']",100,1.0,10,0.0,42,stratified,aridity,auto,2,,30,10,10,,output/transformer_MSE_T1/seq090_hidden032_batch032_lr0p001_drop0p1,45,0.1676412025477478,0.2668724235549525,0.5791385039518595,0.6484674834364632,13337000,10258500
seq090_hidden032_batch032_lr0p001_drop0p2,transformer,mse,90,90,32,2,4,128,0.2,32,0.001,1e-05,0.2428353563610807,19,0.6170452501982937,19,0.7324693383103105,12,0.29562899725461955,0.60442896177953,2.690850189489717,7.240674742276845,1.1178124332263977,output/transformer_MSE_T1/seq090_hidden032_batch032_lr0p001_drop0p2/best_model.pt,output/transformer_MSE_T1/seq090_hidden032_batch032_lr0p001_drop0p2,configs/transformer_sweep.yaml,1,"['prcp', 'tmax', 'tmin', 'srad', 'vp']",qobs,"['lat', 'lon', 'elev_mean', 'slope_mean', 'area_km2', 'mean_prcp', 'mean_pet', 'aridity', 'frac_snow', 'soil_depth_pelletier', 'frac_forest', 'lai_max']",100,1.0,10,0.0,42,stratified,aridity,auto,2,,30,10,10,,output/transformer_MSE_T1/seq090_hidden032_batch032_lr0p001_drop0p2,29,0.2141129775666804,0.3097053048110764,0.5115904314328394,0.5522902317682541,11468500,12048000
seq090_hidden032_batch064_lr0p0001_drop0p1,transformer,mse,90,90,32,2,4,128,0.1,64,0.0001,1e-05,0.2718873595364631,55,0.5712298457219698,55,0.6301035861047155,45,0.4282619964416067,0.6564023503311898,2.424305325564393,5.8772563115598775,1.1223157257328542,output/transformer_MSE_T1/seq090_hidden032_batch064_lr0p0001_drop0p1/best_model.pt,output/transformer_MSE_T1/seq090_hidden032_batch064_lr0p0001_drop0p1,configs/transformer_sweep.yaml,1,"['prcp', 'tmax', 'tmin', 'srad', 'vp']",qobs,"['lat', 'lon', 'elev_mean', 'slope_mean', 'area_km2', 'mean_prcp', 'mean_pet', 'aridity', 'frac_snow', 'soil_depth_pelletier', 'frac_forest', 'lai_max']",100,1.0,10,0.0,42,stratified,aridity,auto,2,,30,10,10,,output/transformer_MSE_T1/seq090_hidden032_batch064_lr0p0001_drop0p1,65,0.259974246147522,0.2736586989797116,0.5684364240782281,0.6224720715890455,11468500,10258500
seq090_hidden032_batch064_lr0p0001_drop0p2,transformer,mse,90,90,32,2,4,128,0.2,64,0.0001,1e-05,0.2614646393275132,54,0.5876666268262671,54,0.6729378022425783,58,0.41551148019012585,0.658141953667609,2.451188880361112,6.008326927205963,1.1190660407803537,output/transformer_MSE_T1/seq090_hidden032_batch064_lr0p0001_drop0p2/best_model.pt,output/transformer_MSE_T1/seq090_hidden032_batch064_lr0p0001_drop0p2,configs/transformer_sweep.yaml,1,"['prcp', 'tmax', 'tmin', 'srad', 'vp']",qobs,"['lat', 'lon', 'elev_mean', 'slope_mean', 'area_km2', 'mean_prcp', 'mean_pet', 'aridity', 'frac_snow', 'soil_depth_pelletier', 'frac_forest', 'lai_max']",100,1.0,10,0.0,42,stratified,aridity,auto,2,,30,10,10,,output/transformer_MSE_T1/seq090_hidden032_batch064_lr0p0001_drop0p2,64,0.298833198539711,0.2620407723774858,0.5867580817055281,0.6424921502766778,11468500,10258500
seq090_hidden032_batch064_lr0p001_drop0p1,transformer,mse,90,90,32,2,4,128,0.1,64,0.001,1e-05,0.2455025367424622,20,0.6128391014655798,20,0.7060901835955526,24,0.3178567647107555,0.6462455370098747,2.6480523920992183,7.012181471302392,1.0993485924814246,output/transformer_MSE_T1/seq090_hidden032_batch064_lr0p001_drop0p1/best_model.pt,output/transformer_MSE_T1/seq090_hidden032_batch064_lr0p001_drop0p1,configs/transformer_sweep.yaml,1,"['prcp', 'tmax', 'tmin', 'srad', 'vp']",qobs,"['lat', 'lon', 'elev_mean', 'slope_mean', 'area_km2', 'mean_prcp', 'mean_pet', 'aridity', 'frac_snow', 'soil_depth_pelletier', 'frac_forest', 'lai_max']",100,1.0,10,0.0,42,stratified,aridity,auto,2,,30,10,10,,output/transformer_MSE_T1/seq090_hidden032_batch064_lr0p001_drop0p1,30,0.1622925480583876,0.2810198395054028,0.5568278161536595,0.5703070184029755,11468500,10258500
seq090_hidden032_batch064_lr0p001_drop0p2,transformer,mse,90,90,32,2,4,128,0.2,64,0.001,1e-05,0.2456650133323418,15,0.6125828573134444,15,0.7077012110716872,24,0.46082233642830817,0.6724753867000857,2.354261667005866,5.542547996733238,1.063470256349083,output/transformer_MSE_T1/seq090_hidden032_batch064_lr0p001_drop0p2/best_model.pt,output/transformer_MSE_T1/seq090_hidden032_batch064_lr0p001_drop0p2,configs/transformer_sweep.yaml,1,"['prcp', 'tmax', 'tmin', 'srad', 'vp']",qobs,"['lat', 'lon', 'elev_mean', 'slope_mean', 'area_km2', 'mean_prcp', 'mean_pet', 'aridity', 'frac_snow', 'soil_depth_pelletier', 'frac_forest', 'lai_max']",100,1.0,10,0.0,42,stratified,aridity,auto,2,,30,10,10,,output/transformer_MSE_T1/seq090_hidden032_batch064_lr0p001_drop0p2,25,0.2001840218822616,0.2973292807925222,0.5311076020052489,0.5976232410979929,13310700,10258500
seq090_hidden032_batch128_lr0p0001_drop0p1,transformer,mse,90,90,32,2,4,128,0.1,128,0.0001,1e-05,0.2915857256605075,42,0.54016527237322,42,0.6600255804664337,45,0.3788026356542461,0.6113578099902796,2.5269903724389775,6.385680342399281,1.1884120036996035,output/transformer_MSE_T1/seq090_hidden032_batch128_lr0p0001_drop0p1/best_model.pt,output/transformer_MSE_T1/seq090_hidden032_batch128_lr0p0001_drop0p1,configs/transformer_sweep.yaml,1,"['prcp', 'tmax', 'tmin', 'srad', 'vp']",qobs,"['lat', 'lon', 'elev_mean', 'slope_mean', 'area_km2', 'mean_prcp', 'mean_pet', 'aridity', 'frac_snow', 'soil_depth_pelletier', 'frac_forest', 'lai_max']",100,1.0,10,0.0,42,stratified,aridity,auto,2,,30,10,10,,output/transformer_MSE_T1/seq090_hidden032_batch128_lr0p0001_drop0p1,52,0.3088048865367273,0.291638498823926,0.5400820137225383,0.6408004218961203,11468500,10258500
seq090_hidden032_batch128_lr0p0001_drop0p2,transformer,mse,90,90,32,2,4,128,0.2,128,0.0001,1e-05,0.2603536461356363,79,0.5894186827251815,79,0.6781856840742041,63,0.3704916671759866,0.6271501069869185,2.5438384462111263,6.471114040421837,1.15715919966751,output/transformer_MSE_T1/seq090_hidden032_batch128_lr0p0001_drop0p2/best_model.pt,output/transformer_MSE_T1/seq090_hidden032_batch128_lr0p0001_drop0p2,configs/transformer_sweep.yaml,1,"['prcp', 'tmax', 'tmin', 'srad', 'vp']",qobs,"['lat', 'lon', 'elev_mean', 'slope_mean', 'area_km2', 'mean_prcp', 'mean_pet', 'aridity', 'frac_snow', 'soil_depth_pelletier', 'frac_forest', 'lai_max']",100,1.0,10,0.0,42,stratified,aridity,auto,2,,30,10,10,,output/transformer_MSE_T1/seq090_hidden032_batch128_lr0p0001_drop0p2,89,0.2645593792441302,0.2783339225800451,0.561063537078951,0.6338359959802246,13310700,10258500
