run_name,model,seq_len,forecast_horizon,window_stride,hidden_size,num_layers,nhead,dim_feedforward,dropout,batch_size,lr,loss,weight_decay,grad_clip,patience,min_delta,seed,split_strategy,split_stratify_attribute,train_basin_count,val_basin_count,test_basin_count,output_dir,checkpoint,status,mse,mae,rmse,nse,kge,best_basin_by_nse,worst_basin_by_nse
seq090_hidden032_batch032_lr0p001_drop0p1,transformer,90,1,90,32,2,4,128,0.1,32,0.001,mse,1e-05,1.0,10,0.0,42,stratified,aridity,30,10,10,output/transformer_MSE_T1/seq090_hidden032_batch032_lr0p001_drop0p1,output/transformer_MSE_T1/seq090_hidden032_batch032_lr0p001_drop0p1/best_model.pt,completed,6.9857096013008935,1.1884075490852317,2.6430492998241433,0.3204319415114244,0.5561225931642835,13337000,10258500
seq090_hidden032_batch032_lr0p001_drop0p2,transformer,90,1,90,32,2,4,128,0.2,32,0.001,mse,1e-05,1.0,10,0.0,42,stratified,aridity,30,10,10,output/transformer_MSE_T1/seq090_hidden032_batch032_lr0p001_drop0p2,output/transformer_MSE_T1/seq090_hidden032_batch032_lr0p001_drop0p2/best_model.pt,completed,7.240674742276845,1.1178124332263977,2.690850189489717,0.29562899725461955,0.60442896177953,11468500,12048000
seq090_hidden032_batch032_lr0p0001_drop0p1,transformer,90,1,90,32,2,4,128,0.1,32,0.0001,mse,1e-05,1.0,10,0.0,42,stratified,aridity,30,10,10,output/transformer_MSE_T1/seq090_hidden032_batch032_lr0p0001_drop0p1,output/transformer_MSE_T1/seq090_hidden032_batch032_lr0p0001_drop0p1/best_model.pt,completed,6.634532849429964,1.1222421960490383,2.5757586939443615,0.3545943268775167,0.6287195112496389,13310700,12048000
seq090_hidden032_batch032_lr0p0001_drop0p2,transformer,90,1,90,32,2,4,128,0.2,32,0.0001,mse,1e-05,1.0,10,0.0,42,stratified,aridity,30,10,10,output/transformer_MSE_T1/seq090_hidden032_batch032_lr0p0001_drop0p2,output/transformer_MSE_T1/seq090_hidden032_batch032_lr0p0001_drop0p2/best_model.pt,completed,5.881041597225821,1.0906400954733608,2.4250858948140004,0.42789376481194497,0.638813102950769,13310700,10258500
seq090_hidden032_batch064_lr0p001_drop0p1,transformer,90,1,90,32,2,4,128,0.1,64,0.001,mse,1e-05,1.0,10,0.0,42,stratified,aridity,30,10,10,output/transformer_MSE_T1/seq090_hidden032_batch064_lr0p001_drop0p1,output/transformer_MSE_T1/seq090_hidden032_batch064_lr0p001_drop0p1/best_model.pt,completed,7.012181471302392,1.0993485924814246,2.6480523920992183,0.3178567647107555,0.6462455370098747,11468500,10258500
seq090_hidden032_batch064_lr0p001_drop0p2,transformer,90,1,90,32,2,4,128,0.2,64,0.001,mse,1e-05,1.0,10,0.0,42,stratified,aridity,30,10,10,output/transformer_MSE_T1/seq090_hidden032_batch064_lr0p001_drop0p2,output/transformer_MSE_T1/seq090_hidden032_batch064_lr0p001_drop0p2/best_model.pt,completed,5.542547996733238,1.063470256349083,2.354261667005866,0.46082233642830817,0.6724753867000857,13310700,10258500
seq090_hidden032_batch064_lr0p0001_drop0p1,transformer,90,1,90,32,2,4,128,0.1,64,0.0001,mse,1e-05,1.0,10,0.0,42,stratified,aridity,30,10,10,output/transformer_MSE_T1/seq090_hidden032_batch064_lr0p0001_drop0p1,output/transformer_MSE_T1/seq090_hidden032_batch064_lr0p0001_drop0p1/best_model.pt,completed,5.8772563115598775,1.1223157257328542,2.424305325564393,0.4282619964416067,0.6564023503311898,11468500,10258500
seq090_hidden032_batch064_lr0p0001_drop0p2,transformer,90,1,90,32,2,4,128,0.2,64,0.0001,mse,1e-05,1.0,10,0.0,42,stratified,aridity,30,10,10,output/transformer_MSE_T1/seq090_hidden032_batch064_lr0p0001_drop0p2,output/transformer_MSE_T1/seq090_hidden032_batch064_lr0p0001_drop0p2/best_model.pt,completed,6.008326927205963,1.1190660407803537,2.451188880361112,0.41551148019012585,0.658141953667609,11468500,10258500
seq090_hidden032_batch128_lr0p001_drop0p1,transformer,90,1,90,32,2,4,128,0.1,128,0.001,mse,1e-05,1.0,10,0.0,42,stratified,aridity,30,10,10,output/transformer_MSE_T1/seq090_hidden032_batch128_lr0p001_drop0p1,output/transformer_MSE_T1/seq090_hidden032_batch128_lr0p001_drop0p1/best_model.pt,completed,6.400168500222997,1.0767557923381736,2.5298554306961885,0.37739323133524816,0.6859295761653794,13310700,10258500
seq090_hidden032_batch128_lr0p001_drop0p2,transformer,90,1,90,32,2,4,128,0.2,128,0.001,mse,1e-05,1.0,10,0.0,42,stratified,aridity,30,10,10,output/transformer_MSE_T1/seq090_hidden032_batch128_lr0p001_drop0p2,output/transformer_MSE_T1/seq090_hidden032_batch128_lr0p001_drop0p2/best_model.pt,completed,6.045175904170596,0.9807361195237085,2.458693942761196,0.41192682105564327,0.7183417289704367,13310700,12048000
