run_name,model,seq_len,forecast_horizon,window_stride,hidden_size,num_layers,nhead,dim_feedforward,dropout,batch_size,lr,loss,weight_decay,grad_clip,patience,min_delta,seed,split_strategy,split_stratify_attribute,train_basin_count,val_basin_count,test_basin_count,output_dir,checkpoint,status,mse,mae,rmse,nse,kge,best_basin_by_nse,worst_basin_by_nse
seq030_hidden032_batch026_lr0p001,lstm,30,1,30,32,1,4,128,0.1,26,0.001,nse,1e-05,1.0,10,0.0,42,stratified,aridity,30,10,10,outputs/sweeps_T1/seq030_hidden032_batch026_lr0p001,outputs/sweeps_T1/seq030_hidden032_batch026_lr0p001/best_model.pt,completed,5.109650302346387,1.1133984238648218,2.260453561201023,0.4342965381871453,0.6268218329625577,13310700,12048000
seq030_hidden032_batch026_lr0p003,lstm,30,1,30,32,1,4,128,0.1,26,0.003,nse,1e-05,1.0,10,0.0,42,stratified,aridity,30,10,10,outputs/sweeps_T1/seq030_hidden032_batch026_lr0p003,outputs/sweeps_T1/seq030_hidden032_batch026_lr0p003/best_model.pt,completed,5.728032903994165,1.0622103880803175,2.3933309223745396,0.36583369674448407,0.5735181837117229,13310700,12048000
seq030_hidden032_batch026_lr0p0005,lstm,30,1,30,32,1,4,128,0.1,26,0.0005,nse,1e-05,1.0,10,0.0,42,stratified,aridity,30,10,10,outputs/sweeps_T1/seq030_hidden032_batch026_lr0p0005,outputs/sweeps_T1/seq030_hidden032_batch026_lr0p0005/best_model.pt,completed,6.359276232073953,1.3287039048041873,2.521760542175635,0.29594700884785385,0.4420150291228847,13337000,10258500
seq030_hidden032_batch032_lr0p001,lstm,30,1,30,32,1,4,128,0.1,32,0.001,nse,1e-05,1.0,10,0.0,42,stratified,aridity,30,10,10,outputs/sweeps_T1/seq030_hidden032_batch032_lr0p001,outputs/sweeps_T1/seq030_hidden032_batch032_lr0p001/best_model.pt,completed,5.068355074958205,1.1237539026464753,2.251300751778448,0.43886844657765023,0.6143949902853374,13337000,10258500
seq030_hidden032_batch032_lr0p003,lstm,30,1,30,32,1,4,128,0.1,32,0.003,nse,1e-05,1.0,10,0.0,42,stratified,aridity,30,10,10,outputs/sweeps_T1/seq030_hidden032_batch032_lr0p003,outputs/sweeps_T1/seq030_hidden032_batch032_lr0p003/best_model.pt,completed,4.9518120684054,1.0919465239349,2.225266740956104,0.45177124390347223,0.596578798979017,13310700,12048000
seq030_hidden032_batch032_lr0p0005,lstm,30,1,30,32,1,4,128,0.1,32,0.0005,nse,1e-05,1.0,10,0.0,42,stratified,aridity,30,10,10,outputs/sweeps_T1/seq030_hidden032_batch032_lr0p0005,outputs/sweeps_T1/seq030_hidden032_batch032_lr0p0005/best_model.pt,completed,5.000034953832742,1.0409186441492715,2.2360757934007385,0.44643235540608817,0.6955264258551355,13337000,10258500
seq030_hidden032_batch064_lr0p001,lstm,30,1,30,32,1,4,128,0.1,64,0.001,nse,1e-05,1.0,10,0.0,42,stratified,aridity,30,10,10,outputs/sweeps_T1/seq030_hidden032_batch064_lr0p001,outputs/sweeps_T1/seq030_hidden032_batch064_lr0p001/best_model.pt,completed,4.988193427214413,1.1106035495015012,2.2334263872387674,0.447743363440838,0.6177054750356881,11468500,10258500
seq030_hidden032_batch064_lr0p003,lstm,30,1,30,32,1,4,128,0.1,64,0.003,nse,1e-05,1.0,10,0.0,42,stratified,aridity,30,10,10,outputs/sweeps_T1/seq030_hidden032_batch064_lr0p003,outputs/sweeps_T1/seq030_hidden032_batch064_lr0p003/best_model.pt,completed,4.826328219310104,1.0594212287475866,2.1968905797308396,0.4656639065387632,0.6513731456764287,13337000,10258500
seq030_hidden032_batch064_lr0p0005,lstm,30,1,30,32,1,4,128,0.1,64,0.0005,nse,1e-05,1.0,10,0.0,42,stratified,aridity,30,10,10,outputs/sweeps_T1/seq030_hidden032_batch064_lr0p0005,outputs/sweeps_T1/seq030_hidden032_batch064_lr0p0005/best_model.pt,completed,5.464355876774159,1.153854436737141,2.337596174871562,0.39502610684550066,0.5832654055197555,13337000,12048000
seq030_hidden032_batch128_lr0p001,lstm,30,1,30,32,1,4,128,0.1,128,0.001,nse,1e-05,1.0,10,0.0,42,stratified,aridity,30,10,10,outputs/sweeps_T1/seq030_hidden032_batch128_lr0p001,outputs/sweeps_T1/seq030_hidden032_batch128_lr0p001/best_model.pt,completed,6.473525149290484,1.4103236267559207,2.5443123136302437,0.2832981964725563,0.40476263633220066,13310700,10258500
seq030_hidden032_batch128_lr0p003,lstm,30,1,30,32,1,4,128,0.1,128,0.003,nse,1e-05,1.0,10,0.0,42,stratified,aridity,30,10,10,outputs/sweeps_T1/seq030_hidden032_batch128_lr0p003,outputs/sweeps_T1/seq030_hidden032_batch128_lr0p003/best_model.pt,completed,6.226558366903556,1.1057625602677053,2.495307269035931,0.31064056933218465,0.5323250061313989,13337000,12048000
seq030_hidden032_batch128_lr0p0005,lstm,30,1,30,32,1,4,128,0.1,128,0.0005,nse,1e-05,1.0,10,0.0,42,stratified,aridity,30,10,10,outputs/sweeps_T1/seq030_hidden032_batch128_lr0p0005,outputs/sweeps_T1/seq030_hidden032_batch128_lr0p0005/best_model.pt,completed,4.882224419921506,1.1326292523565915,2.2095756198694594,0.45947548417773865,0.6591442634680836,13337000,10258500
seq030_hidden064_batch026_lr0p001,lstm,30,1,30,64,1,4,128,0.1,26,0.001,nse,1e-05,1.0,10,0.0,42,stratified,aridity,30,10,10,outputs/sweeps_T1/seq030_hidden064_batch026_lr0p001,outputs/sweeps_T1/seq030_hidden064_batch026_lr0p001/best_model.pt,completed,5.389391807434504,1.189726758101755,2.3215063660120565,0.4033255854844886,0.5727705852983133,13337000,10258500
seq030_hidden064_batch026_lr0p003,lstm,30,1,30,64,1,4,128,0.1,26,0.003,nse,1e-05,1.0,10,0.0,42,stratified,aridity,30,10,10,outputs/sweeps_T1/seq030_hidden064_batch026_lr0p003,outputs/sweeps_T1/seq030_hidden064_batch026_lr0p003/best_model.pt,completed,5.479918831212185,1.1422938826791442,2.340922645285868,0.3933030892844782,0.5997028430726835,13310700,10258500
seq030_hidden064_batch026_lr0p0005,lstm,30,1,30,64,1,4,128,0.1,26,0.0005,nse,1e-05,1.0,10,0.0,42,stratified,aridity,30,10,10,outputs/sweeps_T1/seq030_hidden064_batch026_lr0p0005,outputs/sweeps_T1/seq030_hidden064_batch026_lr0p0005/best_model.pt,completed,5.38028080402392,1.2137663645192611,2.3195432317643747,0.4043342897724491,0.632762413144192,13337000,10258500
seq030_hidden064_batch032_lr0p001,lstm,30,1,30,64,1,4,128,0.1,32,0.001,nse,1e-05,1.0,10,0.0,42,stratified,aridity,30,10,10,outputs/sweeps_T1/seq030_hidden064_batch032_lr0p001,outputs/sweeps_T1/seq030_hidden064_batch032_lr0p001/best_model.pt,completed,4.918407526019205,1.081323688425682,2.217748300871676,0.45546955281895063,0.686972005520494,13310700,12048000
seq030_hidden064_batch032_lr0p003,lstm,30,1,30,64,1,4,128,0.1,32,0.003,nse,1e-05,1.0,10,0.0,42,stratified,aridity,30,10,10,outputs/sweeps_T1/seq030_hidden064_batch032_lr0p003,outputs/sweeps_T1/seq030_hidden064_batch032_lr0p003/best_model.pt,completed,4.8602107875068965,1.084275990291415,2.204588575563907,0.4619126740688554,0.6184890350328425,13337000,10258500
seq030_hidden064_batch032_lr0p0005,lstm,30,1,30,64,1,4,128,0.1,32,0.0005,nse,1e-05,1.0,10,0.0,42,stratified,aridity,30,10,10,outputs/sweeps_T1/seq030_hidden064_batch032_lr0p0005,outputs/sweeps_T1/seq030_hidden064_batch032_lr0p0005/best_model.pt,completed,5.733292676745232,1.2717080176573052,2.3944295096630497,0.3652513728127932,0.5199580595676114,13337000,10258500
seq030_hidden064_batch064_lr0p001,lstm,30,1,30,64,1,4,128,0.1,64,0.001,nse,1e-05,1.0,10,0.0,42,stratified,aridity,30,10,10,outputs/sweeps_T1/seq030_hidden064_batch064_lr0p001,outputs/sweeps_T1/seq030_hidden064_batch064_lr0p001/best_model.pt,completed,5.373845718396607,1.1471522616402448,2.3181556717348832,0.40504673583059936,0.5967582157711668,13310700,10258500
seq030_hidden064_batch064_lr0p003,lstm,30,1,30,64,1,4,128,0.1,64,0.003,nse,1e-05,1.0,10,0.0,42,stratified,aridity,30,10,10,outputs/sweeps_T1/seq030_hidden064_batch064_lr0p003,outputs/sweeps_T1/seq030_hidden064_batch064_lr0p003/best_model.pt,completed,4.651468759167373,1.0790903699231575,2.1567263987737,0.4850230791005422,0.6315341869008804,13337000,10258500
seq030_hidden064_batch064_lr0p0005,lstm,30,1,30,64,1,4,128,0.1,64,0.0005,nse,1e-05,1.0,10,0.0,42,stratified,aridity,30,10,10,outputs/sweeps_T1/seq030_hidden064_batch064_lr0p0005,outputs/sweeps_T1/seq030_hidden064_batch064_lr0p0005/best_model.pt,completed,5.2704287861771215,1.2151888405437583,2.2957414458464442,0.41649630930527803,0.5696365702383612,13337000,10258500
seq030_hidden064_batch128_lr0p001,lstm,30,1,30,64,1,4,128,0.1,128,0.001,nse,1e-05,1.0,10,0.0,42,stratified,aridity,30,10,10,outputs/sweeps_T1/seq030_hidden064_batch128_lr0p001,outputs/sweeps_T1/seq030_hidden064_batch128_lr0p001/best_model.pt,completed,6.704409600692916,1.2865917453843327,2.5892874696898596,0.25773634278226776,0.5197571282461125,13310700,10258500
