run_name,model,seq_len,forecast_horizon,window_stride,hidden_size,num_layers,nhead,dim_feedforward,dropout,batch_size,lr,loss,weight_decay,grad_clip,patience,min_delta,seed,split_strategy,split_stratify_attribute,train_basin_count,val_basin_count,test_basin_count,output_dir,checkpoint,status,mse,mae,rmse,nse,kge,best_basin_by_nse,worst_basin_by_nse
seq030_hidden032_batch032_lr0p001,lstm,30,1,30,32,1,4,128,0.1,32,0.001,nse,1e-05,1.0,10,0.0,42,stratified,aridity,30,10,10,outputs/sweeps_mse/seq030_hidden032_batch032_lr0p001,outputs/sweeps_mse/seq030_hidden032_batch032_lr0p001/best_model.pt,completed,5.040703086348537,1.0737920720952976,2.245151016379196,0.44192987441652143,0.6789369214749084,13337000,12048000
seq030_hidden032_batch032_lr0p003,lstm,30,1,30,32,1,4,128,0.1,32,0.003,nse,1e-05,1.0,10,0.0,42,stratified,aridity,30,10,10,outputs/sweeps_mse/seq030_hidden032_batch032_lr0p003,outputs/sweeps_mse/seq030_hidden032_batch032_lr0p003/best_model.pt,completed,5.248133655982071,1.0703504918714846,2.290880541621948,0.4189646645911802,0.6070831503524252,13310700,12048000
seq030_hidden032_batch032_lr0p0005,lstm,30,1,30,32,1,4,128,0.1,32,0.0005,nse,1e-05,1.0,10,0.0,42,stratified,aridity,30,10,10,outputs/sweeps_mse/seq030_hidden032_batch032_lr0p0005,outputs/sweeps_mse/seq030_hidden032_batch032_lr0p0005/best_model.pt,completed,7.250600045515469,1.3495509204751714,2.692693826916731,0.1972660939076364,0.4034467720150655,13337000,12048000
seq030_hidden032_batch064_lr0p001,lstm,30,1,30,32,1,4,128,0.1,64,0.001,nse,1e-05,1.0,10,0.0,42,stratified,aridity,30,10,10,outputs/sweeps_mse/seq030_hidden032_batch064_lr0p001,outputs/sweeps_mse/seq030_hidden032_batch064_lr0p001/best_model.pt,completed,7.5559591563809025,1.3332055038996795,2.7488104984485386,0.16345894549410478,0.3747919377007246,13337000,12048000
seq030_hidden032_batch064_lr0p003,lstm,30,1,30,32,1,4,128,0.1,64,0.003,nse,1e-05,1.0,10,0.0,42,stratified,aridity,30,10,10,outputs/sweeps_mse/seq030_hidden032_batch064_lr0p003,outputs/sweeps_mse/seq030_hidden032_batch064_lr0p003/best_model.pt,completed,5.061313270671822,1.1092162597855464,2.249736266914818,0.4396480641300269,0.6202542589215201,13310700,10258500
seq030_hidden032_batch064_lr0p0005,lstm,30,1,30,32,1,4,128,0.1,64,0.0005,nse,1e-05,1.0,10,0.0,42,stratified,aridity,30,10,10,outputs/sweeps_mse/seq030_hidden032_batch064_lr0p0005,outputs/sweeps_mse/seq030_hidden032_batch064_lr0p0005/best_model.pt,completed,6.004905544588619,1.2813456094852707,2.4504908782912493,0.33518036393350403,0.5421206942079175,13337000,12048000
seq030_hidden032_batch128_lr0p001,lstm,30,1,30,32,1,4,128,0.1,128,0.001,nse,1e-05,1.0,10,0.0,42,stratified,aridity,30,10,10,outputs/sweeps_mse/seq030_hidden032_batch128_lr0p001,outputs/sweeps_mse/seq030_hidden032_batch128_lr0p001/best_model.pt,completed,6.014103414298953,1.2125303015032192,2.4523669004247615,0.3341620424381856,0.5036312773405109,13310700,12048000
seq030_hidden032_batch128_lr0p003,lstm,30,1,30,32,1,4,128,0.1,128,0.003,nse,1e-05,1.0,10,0.0,42,stratified,aridity,30,10,10,outputs/sweeps_mse/seq030_hidden032_batch128_lr0p003,outputs/sweeps_mse/seq030_hidden032_batch128_lr0p003/best_model.pt,completed,4.996878955627873,1.1138088641155817,2.2353699818213255,0.44678176466197206,0.6246440632972443,13310700,12048000
seq030_hidden032_batch128_lr0p0005,lstm,30,1,30,32,1,4,128,0.1,128,0.0005,nse,1e-05,1.0,10,0.0,42,stratified,aridity,30,10,10,outputs/sweeps_mse/seq030_hidden032_batch128_lr0p0005,outputs/sweeps_mse/seq030_hidden032_batch128_lr0p0005/best_model.pt,completed,4.89973126277972,1.0976237253471466,2.213533659734977,0.4575372533743983,0.6673912220359257,13337000,12048000
seq030_hidden032_batch256_lr0p001,lstm,30,1,30,32,1,4,128,0.1,256,0.001,nse,1e-05,1.0,10,0.0,42,stratified,aridity,30,10,10,outputs/sweeps_mse/seq030_hidden032_batch256_lr0p001,outputs/sweeps_mse/seq030_hidden032_batch256_lr0p001/best_model.pt,completed,6.20333201166722,1.2908833025017503,2.4906489137707104,0.31321202310788765,0.46451676192034386,13337000,10258500
seq030_hidden032_batch256_lr0p003,lstm,30,1,30,32,1,4,128,0.1,256,0.003,nse,1e-05,1.0,10,0.0,42,stratified,aridity,30,10,10,outputs/sweeps_mse/seq030_hidden032_batch256_lr0p003,outputs/sweeps_mse/seq030_hidden032_batch256_lr0p003/best_model.pt,completed,5.067851462822761,1.101936236308422,2.251188899853311,0.43892420286459255,0.6451445903010984,13337000,10258500
seq030_hidden032_batch256_lr0p0005,lstm,30,1,30,32,1,4,128,0.1,256,0.0005,nse,1e-05,1.0,10,0.0,42,stratified,aridity,30,10,10,outputs/sweeps_mse/seq030_hidden032_batch256_lr0p0005,outputs/sweeps_mse/seq030_hidden032_batch256_lr0p0005/best_model.pt,completed,6.174233210551502,1.2899330234079152,2.484800436765798,0.3164336315452021,0.4954174462310176,13337000,12048000
seq030_hidden064_batch032_lr0p001,lstm,30,1,30,64,1,4,128,0.1,32,0.001,nse,1e-05,1.0,10,0.0,42,stratified,aridity,30,10,10,outputs/sweeps_mse/seq030_hidden064_batch032_lr0p001,outputs/sweeps_mse/seq030_hidden064_batch032_lr0p001/best_model.pt,completed,6.008181923745185,1.204309827991278,2.4511593019926683,0.33481762697081396,0.5541028679870525,13337000,12048000
